142,17.32,17.32,2.41,0,2.84,5.68,11.36,2.63,0.21,2.49,0.35,2.24,0.6,2.18,0.66
144,17.56,17.56,2.44,0,2.88,5.76,11.52,2.67,0.21,2.53,0.35,2.28,0.6,2.22,0.66
146,17.81,17.81,2.48,0,2.92,5.84,11.68,2.71,0.21,2.57,0.35,2.32,0.6,2.26,0.66
148,18.05,18.05,2.51,0,2.96,5.92,11.84,2.75,0.21,2.61,0.35,2.36,0.6,2.3,0.66
150,18.3,18.3,2.55,0,3,6,12,2.69,0.31,2.48,0.52,2.1,0.9,2.01,0.99
152,18.54,18.54,2.58,0,3.04,6.08,12.16,2.73,0.31,2.52,0.52,2.14,0.9,2.05,0.99
154,18.78,18.78,2.61,0,3.08,6.16,12.32,2.77,0.31,2.56,0.52,2.18,0.9,2.09,0.99
156,19.03,19.03,2.65,0,3.12,6.24,12.48,2.81,0.31,2.6,0.52,2.22,0.9,2.13,0.99
158,19.27,19.27,2.68,0,3.16,6.32,12.64,2.85,0.31,2.64,0.52,2.26,0.9,2.17,0.99
160,19.52,19.52,2.72,0,3.2,6.4,12.8,2.89,0.31,2.68,0.52,2.3,0.9,2.21,0.99
162,19.76,19.76,2.75,0,3.24,6.48,12.96,2.93,0.31,2.72,0.52,2.34,0.9,2.25,0.99
164,20,20,2.78,0,3.28,6.56,13.12,2.97,0.31,2.76,0.52,2.38,0.9,2.29,0.99
166,20.25,20.25,2.82,0,3.32,6.64,13.28,3.01,0.31,2.8,0.52,2.42,0.9,2.33,0.99
168,20.49,20.49,2.85,0,3.36,6.72,13.44,3.05,0.31,2.84,0.52,2.46,0.9,2.37,0.99
170,20.74,20.74,2.89,0,3.4,6.8,13.6,3.09,0.31,2.88,0.52,2.5,0.9,2.41,0.99
172,20.98,20.98,2.92,0,3.44,6.88,13.76,3.13,0.31,2.92,0.52,2.54,0.9,2.45,0.99
174,21.22,21.22,2.95,0,3.48,6.96,13.92,3.17,0.31,2.96,0.52,2.58,0.9,2.49,0.99
176,21.47,21.47,2.99,0,3.52,7.04,14.08,3.21,0.31,3,0.52,2.62,0.9,2.53,0.99
178,21.71,21.71,3.02,0,3.56,7.12,14.24,3.25,0.31,3.04,0.52,2.66,0.9,2.57,0.99
180,21.96,21.96,3.06,0,3.6,7.2,14.4,3.29,0.31,3.08,0.52,2.7,0.9,2.61,0.99
182,22.2,22.2,3.09,0,3.64,7.28,14.56,3.33,0.31,3.12,0.52,2.74,0.9,2.65,0.99
184,22.44,22.44,3.12,0,3.68,7.36,14.72,3.37,0.31,3.16,0.52,2.78,0.9,2.69,0.99
186,22.69,22.69,3.16,0,3.72,7.44,14.88,3.41,0.31,3.2,0.52,2.82,0.9,2.73,0.99
188,22.93,22.93,3.19,0,3.76,7.52,15.04,3.45,0.31,3.24,0.52,2.86,0.9,2.77,0.99
190,23.18,23.18,3.23,0,3.8,7.6,15.2,3.49,0.31,3.28,0.52,2.9,0.9,2.81,0.99
192,23.42,23.42,3.26,0,3.84,7.68,15.36,3.53,0.31,3.32,0.52,2.94,0.9,2.85,0.99
194,23.66,23.66,3.29,0,3.88,7.76,15.52,3.57,0.31,3.36,0.52,2.98,0.9,2.89,0.99
196,23.91,23.91,3.33,0,3.92,7.84,15.68,3.61,0.31,3.4,0.52,3.02,0.9,2.93,0.99
198,24.15,24.15,3.36,0,3.96,7.92,15.84,3.65,0.31,3.44,0.52,3.06,0.9,2.97,0.99
200,24.4,24.4,3.4,0,4,8,16,3.58,0.42,3.3,0.7,2.8,1.2,2.68,1.32
202,24.64,24.64,3.43,0,4.04,8.08,16.16,3.62,0.42,3.34,0.7,2.84,1.2,2.72,1.32
204,24.88,24.88,3.46,0,4.08,8.16,16.32,3.66,0.42,3.38,0.7,2.88,1.2,2.76,1.32
206,25.13,25.13,3.5,0,4.12,8.24,16.48,3.7,0.42,3.42,0.7,2.92,1.2,2.8,1.32
208,25.37,25.37,3.53,0,4.16,8.32,16.64,3.74,0.42,3.46,0.7,2.96,1.2,2.84,1.32
210,25.62,25.62,3.57,0,4.2,8.4,16.8,3.78,0.42,3.5,0.7,3,1.2,2.88,1.32
212,25.86,25.86,3.6,0,4.24,8.48,16.96,3.82,0.42,3.54,0.7,3.04,1.2,2.92,1.32
214,26.1,26.1,3.63,0,4.28,8.56,17.12,3.86,0.42,3.58,0.7,3.08,1.2,2.96,1.32
216,26.35,26.35,3.67,0,4.32,8.64,17.28,3.9,0.42,3.62,0.7,3.12,1.2,3,1.32
218,26.59,26.59,3.7,0,4.36,8.72,17.44,3.94,0.42,3.66,0.7,3.16,1.2,3.04,1.32
220,26.84,26.84,3.74,0,4.4,8.8,17.6,3.98,0.42,3.7,0.7,3.2,1.2,3.08,1.32
222,27.08,27.08,3.77,0,4.44,8.88,17.76,4.02,0.42,3.74,0.7,3.24,1.2,3.12,1.32
224,27.32,27.32,3.8,0,4.48,8.96,17.92,4.06,0.42,3.78,0.7,3.28,1.2,3.16,1.32
226,27.57,27.57,4.05,0,4.52,9.04,18.08,4.1,0.42,3.82,0.7,3.32,1.2,3.2,1.32
228,27.81,27.81,4.29,0,4.56,9.12,18.24,4.14,0.42,3.86,0.7,3.36,1.2,3.24,1.32
230,28.06,28.06,4.54,0,4.6,9.2,18.4,4.18,0.42,3.9,0.7,3.4,1.2,3.28,1.32
232,28.3,28.3,4.78,0,4.64,9.28,18.56,4.22,0.42,3.94,0.7,3.44,1.2,3.32,1.32
234,28.54,28.54,5.02,0,4.68,9.36,18.72,4.26,0.42,3.98,0.7,3.48,1.2,3.36,1.32
236,28.79,28.79,5.27,0,4.72,9.44,18.88,4.3,0.42,4.02,0.7,3.52,1.2,3.4,1.32
